3,12,9,11,10,8,5,4,7,1,6,2
11,10,9,12,4,5,3,1,6,8,2,7
1,2,4,11,5,7,8,12,6,9,10,3
1,6,5,8,7,9,3,2,12,10,11,4
1,2,4,8,3,5,11,10,6,12,7,9
10,2,5,12,11,3,9,7,4,6,8,1
7,5,10,3,1,6,8,4,11,9,12,2
6,9,12,3,10,7,4,5,2,1,11,8
9,11,8,3,1,12,6,4,7,5,2,10
10,2,11,8,7,6,3,9,12,1,4,5
7,6,5,2,3,11,1,8,4,12,9,10
3,7,10,4,12,1,5,8,2,11,6,9
5,11,6,4,1,9,2,3,7,10,12,8
12,4,10,3,9,11,2,6,7,8,1,5
1,11,3,10,2,6,7,9,8,4,12,5
10,3,5,4,2,8,11,7,6,1,9,12
7,10,11,2,3,6,9,5,8,12,1,4
4,1,9,10,7,2,8,12,6,11,5,3
12,5,11,7,8,6,3,10,9,2,4,1
11,1,9,6,3,4,2,5,10,8,7,12
12,2,7,4,8,10,1,9,3,11,6,5
11,3,8,6,4,2,9,1,12,7,10,5
11,3,7,4,6,12,1,10,9,5,2,8
1,8,11,10,6,4,2,5,12,9,7,3
1,9,8,2,7,3,11,10,5,12,6,4
7,11,4,10,5,8,2,3,6,1,12,9
6,7,1,5,9,10,11,4,3,8,12,2
5,3,2,6,7,4,8,11,1,9,12,10
7,12,2,4,1,3,5,6,9,11,8,10
12,10,9,11,5,2,1,8,7,3,6,4
