9,5,1,12,8,2,4,11,6,7,10,3
7,1,10,4,3,12,2,8,6,9,5,11
4,9,6,2,7,1,10,8,11,3,12,5
6,4,12,3,11,5,8,1,2,10,9,7
10,12,8,6,1,5,7,3,4,9,11,2
3,2,12,1,7,9,5,4,6,8,11,10
7,6,4,11,2,8,1,12,3,9,10,5
5,7,9,8,2,1,12,6,3,10,4,11
7,9,5,8,10,11,4,6,3,1,12,2
8,10,1,5,2,9,4,12,11,3,6,7
12,2,9,11,8,7,4,3,6,1,5,10
5,11,10,8,1,6,12,9,4,3,2,7
4,12,6,7,5,9,10,1,11,3,2,8
2,6,7,8,9,11,5,4,3,12,10,1
3,12,8,5,10,6,1,4,9,7,11,2
6,1,4,3,5,7,12,8,11,10,9,2
11,12,7,6,4,8,3,10,9,1,5,2
7,12,1,10,6,3,11,8,2,9,4,5
6,5,9,4,2,3,12,11,8,7,10,1
2,8,6,3,11,4,9,5,12,7,10,1
4,1,11,7,6,5,3,10,9,8,2,12
10,11,8,2,12,7,3,4,9,1,6,5
6,11,10,9,12,5,2,3,8,7,1,4
2,3,5,1,4,6,10,12,9,8,7,11
3,8,1,5,6,7,11,9,12,4,10,2
9,7,3,10,1,11,12,2,6,8,4,5
4,5,12,1,8,7,2,10,6,3,9,11
1,9,2,7,6,3,4,10,12,11,5,8
3,10,12,9,1,6,5,8,2,11,4,7
1,10,3,7,4,2,12,5,11,6,9,8
